Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	Save Bits S12	Save Add S12	Save Param Bits S12	*eol
extra_golem	476		1	5													1024		6		5																		149	1	1	ExtraGolem	ExtraGolem									5			0
transform_dye	477		1	5													1024		5	0	5	0																														24	0		0
inc_splash_radius	478		1	5													1024		6		5																		159	3	0	IncSplash	IncSplash									5			0
item_numsockets_textonly	479		1	4													1024		4	0	4	0																	1	3		SocketedTextOnly	SocketedTextOnly									4	0		0
rathma_clout	480			3											54	204	1024		8	0	3	0																	255	3	0	RathmaClout	RathmaClout									3	0		0
extra_holybolts	481		1	5													1024		5		5																															5			0
pvp_cd	482		1	5													1024		5		5																															5			0
dragonflightreduction	483		1	5													1024		6		6																		159	3	0	dragonflightreduction	dragonflightreduction									6			0
item_dmgpercent_pereth	484		1	6													1024		6	0	6	0			4	0	equipped_eth	item_maxdamage_percent	item_mindamage_percent					1					158	8	1	ModStrEnhancedDamage	ModStrEnhancedDamage	increaseswithequippedeth								6	0		0
corpseexplosionradius	485		1	5													1024		6		6																		159	3	0	corpseexplosionradius	corpseexplosionradius									6			0
mirrored	486			1													1024		8	0	1	0																	250	3	0	StrMirrored	StrMirrored									10	0	10	0
item_dmgpercent_permissinghppercent	487		1	6													1024		6		6				4	0	missing_hp	item_maxdamage_percent	item_mindamage_percent					1					158	8	1	ModStrEnhancedDamage	ModStrEnhancedDamage	increaseswithmissinghp								6			0
lifedrain_percentcap	488		1	7													1024		7		7																		159	7	2	ModStrLifeStealCap	ModStrLifeStealCap	ofmaximumhp								7			0
inc_splash_radius_permissinghp	489		1	6													1024		6		6																		158	8	1	ModStrIncSplashRadius	ModStrIncSplashRadius	incsplashwithmissinghp								6			0
eaglehorn_raven	490			6													1024		6		6																		160	6	2	EaglehornRaven	EaglehornRaven	ColdDamage								11			0
pvp_disable	491		1	1													1024		5		1																															5			0
pvp_lld_cd	492		1	5													1024		5		5																															5			0
map_glob_skirmish_mode	493			8												54	2004				8	0																	248	3	0	MapGlobSkirmishMode	MapGlobSkirmishMode									12	0		0
map_mon_dropjewelry	494		1	9											1065	72	494		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedJewelry								7	20		0
map_mon_dropweapons	495		1	9											1065	72	495		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedWeapons								7	20		0
map_mon_droparmor	496		1	9											1065	72	496		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedArmor								7	20		0
map_mon_dropcrafting	497		1	9											1065	72	497		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedCrafting								7	20		0
map_glob_extra_boss	498			1												54	2005				1	0																	206	3	0	MapGlobExtraBoss	MapGlobExtraBoss									12	0		0
map_glob_add_mon_shriek	499			12												54	2003				12	0																	160	3	0	MapAddMonShriek	MapAddMonShriek									12	0		0
map_force_event	500			6											54	204	0		8	0	6	0																	203	3	0	StrForceMapEvent	StrForceMapEvent									6	0		0
deep_wounds	501		1	16	8												1024		16	0	16	0																	82	1	1	OpenWoundsItem	OpenWoundsItem									16	0		0
map_mon_dropcharms	502		1	9											1065	72	502		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedCharms								7	20		0
map_glob_dropcorrupted	503		1	9											1065	72	2006		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedCorrupted								7	20		0
curse_effectiveness	504		1	9											103	40	1024		8	0	8	50																	38	4	2	StrCurseEffectiveness	StrCurseEffectiveness									8	50		0
map_glob_boss_dropfacet	505			2											1065	72	2009		2	2	2																		208	3	0	MapBossFacet	MapBossFacet									2	2		0
map_mon_dropjewels	506		1	9											1065	72	506		7	20	7	20																	205	8	2	MapMonHave	MapMonHave	MapMonIncreasedJewels								7	20		0
es_efficiency	507		1	7													1024		5		5																															5			0
map_glob_sundermonsters	508			1											1065	72	2010		10	0	1																		208	3	0	MapGlobSunderMonsters	MapGlobSunderMonsters									10	0		0
extra_grizzly	509		1	5													1024		6		5																		149	1	1	ExtraGrizzly	ExtraGrizzly									5			0
no_wolves	510		1	5													1024		6		5																		148	3	0	StrNoWolves	StrNoWolves									5			0
